source_record,id,category,partition
2,277,Account/Login Issue,training
3,255,Order Status Inquiry,test
4,84,Delivery Issue,training
5,291,Account/Login Issue,training
6,220,Product/Stock Inquiry,training
7,256,Order Status Inquiry,training
8,231,Order Status Inquiry,test
9,437,General Inquiry,test
10,373,Promotion/Discount Inquiry,test
11,104,Delivery Issue,test
12,343,Promotion/Discount Inquiry,test
13,216,Product/Stock Inquiry,training
14,338,Promotion/Discount Inquiry,training
15,152,Refund/Cancellation,training
16,271,Order Status Inquiry,training
17,339,Promotion/Discount Inquiry,training
18,298,Account/Login Issue,training
19,202,Product/Stock Inquiry,training
20,435,General Inquiry,training
21,319,Account/Login Issue,training
22,249,Order Status Inquiry,test
23,98,Delivery Issue,training
24,257,Order Status Inquiry,training
25,40,Payment Issue,training
26,61,Delivery Issue,training
27,266,Order Status Inquiry,training
28,135,Refund/Cancellation,training
29,382,Promotion/Discount Inquiry,test
30,72,Delivery Issue,training
31,207,Product/Stock Inquiry,test
32,349,Promotion/Discount Inquiry,training
33,101,Delivery Issue,training
34,275,Order Status Inquiry,training
35,322,Account/Login Issue,training
36,114,Refund/Cancellation,test
37,263,Order Status Inquiry,training
38,328,Account/Login Issue,training
39,369,Promotion/Discount Inquiry,training
40,379,Promotion/Discount Inquiry,training
41,436,General Inquiry,training
43,226,Order Status Inquiry,training
45,239,Order Status Inquiry,training
47,213,Product/Stock Inquiry,training
48,218,Product/Stock Inquiry,test
50,161,Refund/Cancellation,training
51,228,Order Status Inquiry,training
52,305,Account/Login Issue,training
56,341,Promotion/Discount Inquiry,test
57,360,Promotion/Discount Inquiry,training
58,130,Refund/Cancellation,training
59,201,Product/Stock Inquiry,training
60,18,Payment Issue,training
61,99,Delivery Issue,test
62,140,Refund/Cancellation,training
63,58,Delivery Issue,test
65,225,Order Status Inquiry,training
66,233,Order Status Inquiry,test
67,118,Refund/Cancellation,test
68,29,Payment Issue,test
69,375,Promotion/Discount Inquiry,training
70,124,Refund/Cancellation,test
72,401,General Inquiry,training
73,386,General Inquiry,training
74,426,General Inquiry,training
75,410,General Inquiry,training
76,2,Payment Issue,training
78,77,Delivery Issue,test
79,394,General Inquiry,test
80,111,Refund/Cancellation,training
81,408,General Inquiry,training
82,315,Account/Login Issue,test
83,391,General Inquiry,training
84,1,Payment Issue,training
85,370,Promotion/Discount Inquiry,test
86,258,Order Status Inquiry,training
87,147,Refund/Cancellation,training
88,352,Promotion/Discount Inquiry,training
89,45,Payment Issue,test
90,425,General Inquiry,test
91,176,Product/Stock Inquiry,training
92,286,Account/Login Issue,training
94,85,Delivery Issue,training
95,194,Product/Stock Inquiry,training
96,44,Payment Issue,training
98,282,Account/Login Issue,training
99,333,Promotion/Discount Inquiry,training
100,309,Account/Login Issue,test
101,112,Refund/Cancellation,training
102,70,Delivery Issue,training
103,221,Order Status Inquiry,training
104,25,Payment Issue,test
105,171,Product/Stock Inquiry,training
106,230,Order Status Inquiry,training
107,122,Refund/Cancellation,test
108,31,Payment Issue,test
109,46,Payment Issue,training
110,154,Refund/Cancellation,training
111,439,General Inquiry,test
112,311,Account/Login Issue,training
113,406,General Inquiry,training
114,143,Refund/Cancellation,training
115,66,Delivery Issue,training
116,342,Promotion/Discount Inquiry,training
117,337,Promotion/Discount Inquiry,test
118,195,Product/Stock Inquiry,test
119,153,Refund/Cancellation,training
120,232,Order Status Inquiry,training
122,281,Account/Login Issue,training
123,215,Product/Stock Inquiry,training
125,317,Account/Login Issue,training
126,136,Refund/Cancellation,training
127,308,Account/Login Issue,training
128,187,Product/Stock Inquiry,training
129,78,Delivery Issue,training
130,357,Promotion/Discount Inquiry,training
131,132,Refund/Cancellation,test
132,302,Account/Login Issue,training
133,82,Delivery Issue,test
134,378,Promotion/Discount Inquiry,training
135,433,General Inquiry,training
136,183,Product/Stock Inquiry,training
137,7,Payment Issue,training
138,371,Promotion/Discount Inquiry,training
139,356,Promotion/Discount Inquiry,training
141,81,Delivery Issue,training
142,79,Delivery Issue,training
143,177,Product/Stock Inquiry,training
144,253,Order Status Inquiry,training
145,191,Product/Stock Inquiry,training
146,399,General Inquiry,training
147,278,Account/Login Issue,training
148,229,Order Status Inquiry,training
149,267,Order Status Inquiry,training
150,67,Delivery Issue,training
152,366,Promotion/Discount Inquiry,training
153,89,Delivery Issue,training
154,238,Order Status Inquiry,training
155,102,Delivery Issue,training
156,254,Order Status Inquiry,training
157,21,Payment Issue,training
159,354,Promotion/Discount Inquiry,training
160,14,Payment Issue,test
161,395,General Inquiry,training
162,108,Delivery Issue,test
164,47,Payment Issue,training
165,16,Payment Issue,training
166,396,General Inquiry,training
168,407,General Inquiry,training
169,125,Refund/Cancellation,training
170,284,Account/Login Issue,training
171,38,Payment Issue,training
172,3,Payment Issue,training
173,180,Product/Stock Inquiry,test
174,150,Refund/Cancellation,training
175,158,Refund/Cancellation,test
176,53,Payment Issue,training
178,203,Product/Stock Inquiry,training
179,30,Payment Issue,training
180,162,Refund/Cancellation,training
181,278,Account/Login Issue,test
182,212,Product/Stock Inquiry,training
184,227,Order Status Inquiry,training
185,43,Payment Issue,training
186,292,Account/Login Issue,training
187,246,Order Status Inquiry,training
189,323,Account/Login Issue,test
190,185,Product/Stock Inquiry,training
191,388,General Inquiry,test
193,193,Product/Stock Inquiry,training
194,235,Order Status Inquiry,test
196,252,Order Status Inquiry,test
197,223,Order Status Inquiry,training
198,389,General Inquiry,training
200,190,Product/Stock Inquiry,training
201,75,Delivery Issue,training
202,165,Refund/Cancellation,test
203,296,Account/Login Issue,training
204,37,Payment Issue,training
205,184,Product/Stock Inquiry,training
206,198,Product/Stock Inquiry,test
208,324,Account/Login Issue,test
209,350,Promotion/Discount Inquiry,training
210,397,General Inquiry,training
211,434,General Inquiry,training
212,64,Delivery Issue,training
214,347,Promotion/Discount Inquiry,training
215,351,Promotion/Discount Inquiry,training
216,86,Delivery Issue,training
218,196,Product/Stock Inquiry,training
219,13,Payment Issue,training
220,83,Delivery Issue,training
221,42,Payment Issue,training
224,175,Product/Stock Inquiry,test
225,117,Refund/Cancellation,training
226,192,Product/Stock Inquiry,training
227,295,Account/Login Issue,test
228,283,Account/Login Issue,training
229,409,General Inquiry,training
231,340,Promotion/Discount Inquiry,test
232,181,Product/Stock Inquiry,training
233,312,Account/Login Issue,training
234,332,Promotion/Discount Inquiry,training
235,74,Delivery Issue,training
236,63,Delivery Issue,test
237,128,Refund/Cancellation,training
